Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,149,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,151,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,86,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,155,2022/02/08,19:52:22,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,98,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,142,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:22,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,155,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,102,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,149,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,70,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,102,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1217,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,155,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,152,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,94,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,138,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,102,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,90,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,66,2022/02/08,19:52:23,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,124,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,148,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,148,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,145,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,140,2022/02/08,19:52:23,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,142,2022/02/08,19:52:24,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,67,2022/02/08,19:52:24,NULL
