Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
13.89.179.9,192.168.1.3,443,51964,O,PA,TCP,104,447,2022/02/12,10:05:17,NULL
192.168.1.3,13.89.179.9,51964,443,W,A,TCP,128,40,2022/02/12,10:05:17,[PORT]
192.168.1.3,13.89.179.9,51964,443,W,PA,TCP,128,1130,2022/02/12,10:05:17,[PORT]
13.89.179.9,192.168.1.3,443,51964,O,PA,TCP,104,492,2022/02/12,10:05:17,NULL
192.168.1.3,13.89.179.9,51964,443,W,A,TCP,128,40,2022/02/12,10:05:18,[PORT]
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:05:18,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:06:09,NULL
192.168.1.3,13.89.179.9,51964,443,W,RA,TCP,128,40,2022/02/12,10:06:09,[PORT]
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:06:09,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:06:16,NULL
192.168.1.3,5.62.53.131,63383,80,W,A,TCP,128,41,2022/02/12,10:06:16,[PORT]
5.62.53.131,192.168.1.3,80,63383,O,A,TCP,48,40,2022/02/12,10:06:16,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:06:53,NULL
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,194,2022/02/12,10:07:58,NULL
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,1500,2022/02/12,10:07:58,NULL
192.168.1.3,77.234.45.65,63431,80,W,A,TCP,128,40,2022/02/12,10:07:58,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,209,2022/02/12,10:07:58,NULL
192.168.1.3,77.234.45.65,63431,80,W,PA,TCP,128,334,2022/02/12,10:08:03,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,40,2022/02/12,10:08:03,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:08:03,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:08:13,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:08:13,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:08:53,NULL
192.168.1.3,5.62.53.131,63383,80,W,A,TCP,128,41,2022/02/12,10:08:53,[PORT]
5.62.53.131,192.168.1.3,80,63383,O,A,TCP,48,40,2022/02/12,10:08:53,NULL
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,194,2022/02/12,10:10:58,NULL
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,1500,2022/02/12,10:10:58,NULL
192.168.1.3,77.234.45.65,63431,80,W,A,TCP,128,40,2022/02/12,10:10:58,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,493,2022/02/12,10:10:58,NULL
192.168.1.3,77.234.45.65,63431,80,W,PA,TCP,128,334,2022/02/12,10:11:02,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,40,2022/02/12,10:11:03,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:11:03,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:11:29,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:11:29,NULL
192.168.1.3,5.62.53.131,63383,80,W,A,TCP,128,41,2022/02/12,10:11:30,[PORT]
5.62.53.131,192.168.1.3,80,63383,O,A,TCP,48,40,2022/02/12,10:11:30,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:13:14,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:13:14,NULL
